distance,consume,speed,temp_inside,temp_outside,price_per_liter,AC,rain,sun,gas_type,amount_per_consumption,amount_per_km,temp_spread
28,5,26,21.5,12,1.38,0,0,0,0,6.8999999999999995,0.2464285714285714,9.5
12,4.2,30,21.5,13,1.38,0,0,0,0,5.795999999999999,0.48299999999999993,8.5
11.2,5.5,38,21.5,15,1.38,0,0,0,0,7.59,0.6776785714285715,6.5
12.9,3.9,36,21.5,14,1.38,0,0,0,0,5.382,0.41720930232558134,7.5
18.5,4.5,46,21.5,15,1.38,0,0,0,0,6.209999999999999,0.33567567567567563,6.5
8.3,6.4,50,21.5,10,1.38,0,0,0,0,8.831999999999999,1.0640963855421686,11.5
7.8,4.4,43,21.5,11,1.38,0,0,0,0,6.072,0.7784615384615385,10.5
12.3,5,40,21.5,6,1.38,0,0,0,0,6.8999999999999995,0.5609756097560975,15.5
4.9,6.4,26,21.5,4,1.38,0,0,0,0,8.831999999999999,1.8024489795918364,17.5
11.9,5.3,30,21.5,9,1.38,0,0,0,0,7.313999999999999,0.6146218487394957,12.5
12.4,5.6,42,21.5,4,1.38,0,0,0,0,7.727999999999999,0.6232258064516127,17.5
11.8,4.6,38,21.5,0,1.38,0,0,0,0,6.347999999999999,0.5379661016949151,21.5
12.3,5.9,59,21.5,10,1.38,0,0,0,0,8.142,0.661951219512195,11.5
24.7,5.1,58,21.5,12,1.38,0,0,0,0,7.037999999999999,0.2849392712550607,9.5
12.4,4.7,46,21.5,11,1.38,0,0,0,0,6.486,0.5230645161290323,10.5
17.3,5.1,24,21.5,5,1.38,0,0,0,0,7.037999999999999,0.40682080924855485,16.5
33.4,5.6,36,21.5,3,1.38,0,0,0,0,7.727999999999999,0.231377245508982,18.5
11.8,5.1,32,21.5,3,1.38,0,0,0,0,7.037999999999999,0.5964406779661016,18.5
25.9,4.9,39,21.5,8,1.38,0,0,0,0,6.762,0.2610810810810811,13.5
11.8,4.7,40,21.5,4,1.38,0,0,0,0,6.486,0.5496610169491525,17.5
25.3,5.5,32,21.5,3,1.38,0,0,0,0,7.59,0.3,18.5
14.2,5.9,38,21.5,1,1.38,0,0,0,0,8.142,0.5733802816901409,20.5
17.9,5.7,37,21.5,1,1.38,0,0,0,0,7.866,0.43944134078212294,20.5
11.8,4.7,36,21.5,1,1.38,0,0,0,0,6.486,0.5496610169491525,20.5
12.3,5.9,62,21.5,6,1.38,0,0,0,0,8.142,0.661951219512195,15.5
12.4,4.1,57,21.5,9,1.38,0,0,0,0,5.6579999999999995,0.4562903225806451,12.5
18.4,5.7,21,22.5,2,1.38,0,0,0,0,7.866,0.4275,20.5
18.4,5.8,28,21.5,3,1.38,0,0,0,0,8.004,0.435,18.5
18.3,5.5,29,21.5,1,1.38,0,0,0,0,7.59,0.4147540983606557,20.5
18.4,5.7,35,21.5,4,1.38,0,0,0,0,7.866,0.4275,17.5
12.3,5.3,51,21.5,11,1.38,0,0,0,0,7.313999999999999,0.5946341463414633,10.5
11.8,5,29,21.5,10,1.38,0,0,0,0,6.8999999999999995,0.5847457627118643,11.5
12.3,5.6,58,21.5,8,1.38,0,0,0,0,7.727999999999999,0.6282926829268292,13.5
32.6,4.8,40,21.5,7,1.38,0,0,0,0,6.624,0.20319018404907974,14.5
19,4.3,36,21.5,7,1.38,0,0,0,0,5.933999999999999,0.31231578947368416,14.5
12.1,5.7,36,21.5,8,1.38,0,0,0,0,7.866,0.6500826446280992,13.5
20,5.2,37,21.5,4,1.38,0,0,0,0,7.175999999999999,0.35879999999999995,17.5
4.9,7.4,26,21.5,6,1.38,0,0,0,0,10.212,2.084081632653061,15.5
11.8,4.8,23,21.5,9,1.38,0,0,0,0,6.624,0.5613559322033898,12.5
12.3,6.5,58,21.5,7,1.38,0,0,0,0,8.969999999999999,0.7292682926829267,14.5
12.4,4,55,21.5,7,1.38,1,1,0,0,5.52,0.4451612903225806,14.5
4.5,5,29,21.5,7,1.38,1,0,0,0,6.8999999999999995,1.5333333333333332,14.5
11.7,4.6,37,21.5,6,1.38,0,0,0,0,6.347999999999999,0.5425641025641025,15.5
10.2,4.3,44,21.5,7,1.38,0,0,0,0,5.933999999999999,0.581764705882353,14.5
5.4,3.3,32,21.5,7,1.46,0,0,0,1,4.818,0.8922222222222221,14.5
